time,voltage,current,power,energy,frequency,pf
2023-03-24 10:00:00,229.85523812873564,0.013500821018062397,1.774022988505747,0.010147783251231527,49.975862551724134,0.2189983579638752
2023-03-24 11:00:00,231.85355440485964,0.004109998358233459,0.5536200952224594,0.010999999999999998,49.98460053784272,0.06303726810047611
2023-03-24 12:00:00,230.26921689509112,0.008160893120998193,1.0898210474470529,0.011022328024954852,49.97232036972583,0.12543096371695944
2023-03-24 13:00:00,227.57894914417076,0.008025944170771756,1.0745484400656815,0.012197372742200327,49.97435190870279,0.12547454844006567
2023-03-24 14:00:00,225.8944171559934,0.0023047619047619045,0.3039737274220033,0.013000000000000001,49.98246340492611,0.03480459770114942
2023-03-24 15:00:00,227.57573074745486,0.00312807881773399,0.4163218390804598,0.013000000000000001,49.981937963875204,0.047592775041050896
2023-03-24 16:00:00,229.20472903251232,0.010239408866995073,1.3557307060755337,0.013605254515599342,49.99996715993432,0.15544499178981938
2023-03-24 17:00:00,231.9314614328407,0.01821247947454844,2.3492282430213467,0.014570443349753694,49.99211838423645,0.28430541871921183
2023-03-24 18:00:00,233.82994570054177,0.03377589886718109,4.405713347561977,0.018483171892956823,49.988803376128715,0.5581497291085208
2023-03-24 19:00:00,230.94780757792742,0.02351601248152406,3.141533913614715,0.022374281491213663,49.989522298571195,0.3816866480538676
2023-03-24 20:00:00,228.469304167761,0.0,0.0,0.024,49.978037208798426,0.0
2023-03-24 21:00:00,226.71614384233862,0.0036738380686483826,0.4822795204467072,0.024,49.991985707998026,0.05578584332402693
2023-03-24 22:00:00,224.11170582400263,0.0009853882777868988,0.1277951075357084,0.024,49.98867203743227,0.014289935971104908
2023-03-24 23:00:00,225.50003285254516,0.0049090311986863715,0.6363218390804597,0.024,49.9914944229885,0.07204926108374383
